alpha3-b,alpha3-t,alpha2,English,French
aar,null,aa,Afar,afar
abk,null,ab,Abkhazian,abkhaze
ace,null,null,Achinese,aceh
ach,null,null,Acoli,acoli
ada,null,null,Adangme,adangme
ady,null,null,Adyghe; Adygei,adyghé
afa,null,null,Afro-Asiatic languages,"afro-asiatiques, langues"
afh,null,null,Afrihili,afrihili
afr,null,af,Afrikaans,afrikaans
ain,null,null,Ainu,aïnou
aka,null,ak,Akan,akan
akk,null,null,Akkadian,akkadien
alb,sqi,sq,Albanian,albanais
ale,null,null,Aleut,aléoute
alg,null,null,Algonquian languages,"algonquines, langues"
alt,null,null,Southern Altai,altai du Sud
amh,null,am,Amharic,amharique
ang,null,null,"English, Old (ca.450-1100)",anglo-saxon (ca.450-1100)
anp,null,null,Angika,angika
apa,null,null,Apache languages,"apaches, langues"
ara,null,ar,Arabic,arabe
arc,null,null,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),araméen d'empire (700-300 BCE)
arg,null,an,Aragonese,aragonais
arm,hye,hy,Armenian,arménien
arn,null,null,Mapudungun; Mapuche,mapudungun; mapuche; mapuce
arp,null,null,Arapaho,arapaho
art,null,null,Artificial languages,"artificielles, langues"
arw,null,null,Arawak,arawak
asm,null,as,Assamese,assamais
ast,null,null,Asturian; Bable; Leonese; Asturleonese,asturien; bable; léonais; asturoléonais
ath,null,null,Athapascan languages,"athapascanes, langues"
aus,null,null,Australian languages,"australiennes, langues"
ava,null,av,Avaric,avar
ave,null,ae,Avestan,avestique
awa,null,null,Awadhi,awadhi
aym,null,ay,Aymara,aymara
aze,null,az,Azerbaijani,azéri
bad,null,null,Banda languages,"banda, langues"
bai,null,null,Bamileke languages,"bamiléké, langues"
bak,null,ba,Bashkir,bachkir
bal,null,null,Baluchi,baloutchi
bam,null,bm,Bambara,bambara
ban,null,null,Balinese,balinais
baq,eus,eu,Basque,basque
bas,null,null,Basa,basa
bat,null,null,Baltic languages,"baltes, langues"
bej,null,null,Beja; Bedawiyet,bedja
bel,null,be,Belarusian,biélorusse
bem,null,null,Bemba,bemba
ben,null,bn,Bengali,bengali
ber,null,null,Berber languages,"berbères, langues"
bho,null,null,Bhojpuri,bhojpuri
bih,null,bh,Bihari languages,langues biharis
bik,null,null,Bikol,bikol
bin,null,null,Bini; Edo,bini; edo
bis,null,bi,Bislama,bichlamar
bla,null,null,Siksika,blackfoot
bnt,null,null,Bantu (Other),"bantoues, autres langues"
bos,null,bs,Bosnian,bosniaque
bra,null,null,Braj,braj
bre,null,br,Breton,breton
btk,null,null,Batak languages,"batak, langues"
bua,null,null,Buriat,bouriate
bug,null,null,Buginese,bugi
bul,null,bg,Bulgarian,bulgare
bur,mya,my,Burmese,birman
byn,null,null,Blin; Bilin,blin; bilen
cad,null,null,Caddo,caddo
cai,null,null,Central American Indian languages,"amérindiennes de L'Amérique centrale, langues"
car,null,null,Galibi Carib,karib; galibi; carib
cat,null,ca,Catalan; Valencian,catalan; valencien
cau,null,null,Caucasian languages,"caucasiennes, langues"
ceb,null,null,Cebuano,cebuano
cel,null,null,Celtic languages,"celtiques, langues; celtes, langues"
cha,null,ch,Chamorro,chamorro
chb,null,null,Chibcha,chibcha
che,null,ce,Chechen,tchétchène
chg,null,null,Chagatai,djaghataï
chi,zho,zh,Chinese,chinois
chk,null,null,Chuukese,chuuk
chm,null,null,Mari,mari
chn,null,null,Chinook jargon,"chinook, jargon"
cho,null,null,Choctaw,choctaw
chp,null,null,Chipewyan; Dene Suline,chipewyan
chr,null,null,Cherokee,cherokee
chu,null,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,slavon d'église; vieux slave; slavon liturgique; vieux bulgare
chv,null,cv,Chuvash,tchouvache
chy,null,null,Cheyenne,cheyenne
cmc,null,null,Chamic languages,"chames, langues"
cop,null,null,Coptic,copte
cor,null,kw,Cornish,cornique
cos,null,co,Corsican,corse
cpe,null,null,"Creoles and pidgins, English based",créoles et pidgins basés sur l'anglais
cpf,null,null,"Creoles and pidgins, French-based",créoles et pidgins basés sur le français
